iter	Passed	Remaining
446	1157	1431
447	1159	1428
448	1161	1425
449	1163	1422
450	1166	1419
451	1168	1417
452	1170	1413
453	1173	1410
454	1175	1407
455	1177	1405
456	1180	1402
457	1182	1399
458	1185	1396
459	1186	1392
460	1188	1389
461	1190	1386
462	1192	1383
463	1195	1380
464	1197	1377
465	1200	1375
466	1202	1372
467	1205	1370
468	1207	1367
469	1210	1364
470	1212	1361
471	1215	1359
472	1218	1357
473	1220	1354
474	1223	1351
475	1225	1349
476	1228	1347
477	1231	1344
478	1233	1342
479	1236	1339
480	1238	1336
481	1240	1333
482	1243	1330
483	1245	1328
484	1248	1325
485	1251	1323
486	1253	1320
487	1256	1317
488	1258	1315
489	1261	1313
490	1264	1310
491	1267	1308
492	1269	1305
493	1271	1302
494	1274	1300
495	1277	1297
496	1279	1295
497	1282	1292
498	1285	1290
499	1287	1287
500	1290	1285
501	1293	1282
502	1295	1280
503	1298	1277
504	1300	1274
505	1302	1271
506	1305	1269
507	1307	1266
508	1310	1263
509	1312	1261
510	1315	1258
511	1317	1255
512	1320	1253
513	1323	1250
514	1325	1248
515	1327	1245
516	1330	1242
517	1332	1240
518	1335	1237
519	1337	1235
520	1340	1232
521	1342	1229
522	1345	1226
523	1347	1224
524	1350	1221
525	1352	1219
526	1354	1216
527	1357	1213
528	1359	1210
529	1361	1207
530	1363	1204
531	1366	1201
532	1368	1199
533	1371	1196
534	1373	1193
535	1375	1191
536	1378	1188
537	1380	1185
538	1383	1183
539	1385	1180
540	1388	1177
541	1391	1175
542	1393	1172
543	1396	1170
544	1397	1166
545	1400	1164
546	1402	1161
547	1405	1159
548	1408	1156
549	1411	1154
550	1414	1152
551	1416	1149
552	1419	1147
553	1421	1144
554	1424	1141
555	1426	1139
556	1429	1136
557	1431	1134
558	1434	1131
559	1436	1129
560	1439	1126
561	1442	1123
562	1444	1121
563	1447	1118
564	1449	1116
565	1452	1113
566	1454	1110
567	1457	1108
568	1460	1105
569	1462	1103
570	1465	1100
571	1467	1098
572	1470	1095
573	1471	1092
574	1474	1089
575	1477	1087
576	1479	1084
577	1482	1082
578	1485	1080
579	1488	1077
580	1491	1075
581	1493	1072
582	1496	1070
583	1498	1067
584	1501	1064
585	1504	1062
586	1507	1060
587	1509	1057
588	1512	1055
589	1514	1052
590	1517	1050
591	1520	1047
592	1523	1045
593	1525	1042
594	1528	1040
595	1530	1037
596	1533	1034
597	1535	1032
598	1538	1029
599	1540	1027
600	1543	1024
601	1545	1022
602	1548	1019
603	1551	1016
604	1553	1014
605	1556	1011
606	1558	1009
607	1561	1006
608	1563	1003
609	1566	1001
610	1568	998
611	1571	996
612	1573	993
613	1576	990
614	1578	988
615	1581	985
616	1583	983
617	1586	980
618	1588	977
619	1591	975
620	1593	972
621	1595	969
622	1598	967
623	1600	964
624	1603	961
625	1605	959
626	1607	956
627	1610	953
628	1613	951
629	1615	948
630	1617	946
631	1620	943
632	1622	940
633	1624	938
634	1627	935
635	1630	932
636	1632	930
637	1634	927
638	1636	924
639	1638	921
640	1640	918
641	1643	916
642	1645	913
643	1647	910
644	1650	908
645	1652	905
646	1655	903
647	1659	901
648	1661	898
649	1663	895
650	1666	893
651	1669	891
652	1671	888
653	1674	886
654	1677	883
655	1679	880
656	1682	878
657	1684	875
658	1687	873
659	1690	870
660	1692	868
661	1694	865
662	1697	862
663	1700	860
664	1702	857
665	1705	855
666	1707	852
667	1710	849
668	1712	847
669	1714	844
670	1717	842
671	1719	839
672	1722	836
673	1724	833
674	1726	831
675	1728	828
676	1730	825
677	1733	823
678	1736	820
679	1738	818
680	1741	815
681	1743	813
682	1746	810
683	1748	807
684	1751	805
685	1754	803
686	1756	800
687	1759	797
688	1761	795
689	1764	792
690	1767	790
691	1769	787
692	1771	784
693	1774	782
694	1776	779
695	1779	777
696	1781	774
697	1784	772
698	1786	769
699	1789	766
700	1791	764
701	1794	761
702	1797	759
703	1799	756
704	1801	753
705	1804	751
706	1806	748
707	1809	746
708	1811	743
709	1814	740
710	1816	738
711	1818	735
712	1821	733
713	1823	730
714	1825	727
715	1828	725
716	1831	722
717	1833	720
718	1836	717
719	1838	715
720	1841	712
721	1844	710
722	1847	707
723	1849	705
724	1851	702
725	1854	699
726	1856	697
727	1859	694
728	1862	692
729	1864	689
730	1867	687
731	1869	684
732	1872	682
733	1875	679
734	1877	676
735	1880	674
736	1882	671
737	1884	668
738	1887	666
739	1889	663
740	1892	661
741	1894	658
742	1897	656
743	1899	653
744	1902	651
745	1903	648
746	1906	645
747	1908	643
748	1911	640
749	1913	637
750	1916	635
751	1919	632
752	1921	630
753	1924	627
754	1926	625
755	1929	622
756	1931	620
757	1934	617
758	1936	615
759	1939	612
760	1941	609
761	1944	607
762	1946	604
763	1948	602
764	1951	599
765	1954	596
766	1956	594
767	1959	591
768	1961	589
769	1964	586
770	1966	584
771	1968	581
772	1971	578
773	1972	576
774	1975	573
775	1977	570
776	1980	568
777	1982	565
778	1985	563
779	1987	560
780	1990	558
781	1992	555
782	1995	552
783	1997	550
784	1999	547
785	2002	545
786	2004	542
787	2007	539
788	2009	537
789	2012	534
790	2014	532
791	2017	529
792	2019	527
793	2021	524
794	2024	522
795	2027	519
796	2028	516
797	2031	514
798	2033	511
799	2036	509
800	2038	506
801	2041	503
802	2043	501
803	2045	498
804	2048	496
805	2050	493
806	2052	490
807	2055	488
808	2057	485
809	2060	483
810	2062	480
811	2064	478
812	2067	475
813	2069	472
814	2071	470
815	2074	467
816	2076	465
817	2078	462
818	2081	459
819	2083	457
820	2085	454
821	2088	452
822	2090	449
823	2093	447
824	2095	444
825	2098	441
826	2100	439
827	2103	436
828	2105	434
829	2107	431
830	2110	429
831	2112	426
832	2115	424
833	2117	421
834	2119	418
835	2122	416
836	2124	413
837	2126	411
838	2129	408
839	2131	406
840	2134	403
841	2136	400
842	2139	398
843	2141	395
844	2144	393
845	2146	390
846	2149	388
847	2151	385
848	2154	383
849	2156	380
850	2159	378
851	2161	375
852	2164	372
853	2166	370
854	2168	367
855	2171	365
856	2173	362
857	2176	360
858	2178	357
859	2181	355
860	2183	352
861	2186	350
862	2189	347
863	2192	345
864	2194	342
865	2197	340
866	2199	337
867	2202	334
868	2204	332
869	2207	329
870	2209	327
871	2212	324
872	2214	322
873	2217	319
874	2219	317
875	2222	314
876	2224	312
877	2227	309
878	2229	306
879	2231	304
880	2234	301
881	2236	299
882	2239	296
883	2242	294
884	2244	291
885	2246	289
886	2249	286
887	2251	284
888	2254	281
889	2257	278
890	2259	276
891	2261	273
892	2264	271
893	2266	268
894	2269	266
895	2271	263
896	2273	261
897	2276	258
898	2278	255
899	2280	253
900	2283	250
901	2285	248
902	2288	245
903	2290	243
904	2292	240
905	2295	238
906	2297	235
907	2300	233
908	2302	230
909	2304	227
910	2307	225
911	2309	222
912	2312	220
913	2314	217
914	2316	215
915	2319	212
916	2321	210
917	2324	207
918	2326	205
919	2329	202
920	2332	200
921	2334	197
922	2337	194
923	2339	192
924	2341	189
925	2344	187
926	2346	184
927	2349	182
928	2351	179
929	2354	177
930	2356	174
931	2359	172
932	2362	169
933	2364	167
934	2366	164
935	2369	162
936	2372	159
937	2374	156
938	2377	154
939	2380	151
940	2382	149
941	2384	146
942	2387	144
943	2389	141
944	2392	139
945	2394	136
946	2397	134
947	2399	131
948	2402	129
949	2404	126
950	2407	124
951	2409	121
952	2412	118
953	2414	116
954	2416	113
955	2419	111
956	2421	108
957	2424	106
958	2426	103
959	2429	101
960	2431	98
961	2433	96
962	2436	93
963	2438	91
964	2440	88
965	2443	85
966	2445	83
967	2448	80
968	2450	78
969	2453	75
970	2455	73
971	2457	70
972	2460	68
973	2462	65
974	2464	63
975	2467	60
976	2469	58
977	2472	55
978	2474	53
979	2477	50
980	2479	48
981	2482	45
982	2484	42
983	2487	40
984	2489	37
985	2492	35
986	2494	32
987	2497	30
988	2500	27
989	2502	25
990	2505	22
991	2507	20
992	2510	17
993	2512	15
994	2514	12
995	2516	10
996	2519	7
997	2521	5
998	2524	2
999	2526	0
