iter	Logloss
0	0.6888250022
1	0.6848079653
2	0.6804997397
3	0.6764694014
4	0.6727044085
5	0.6684228252
6	0.6650671631
7	0.661693308
8	0.6584868882
9	0.6554474819
10	0.6530844443
11	0.6493524834
12	0.6451494637
13	0.6415078493
14	0.6383724878
15	0.6344213791
16	0.631434347
17	0.6280081227
18	0.6248884257
19	0.6217445807
20	0.6183196513
21	0.6151707
22	0.6128876102
23	0.6091400992
24	0.60767257
25	0.6043548675
26	0.6008253748
27	0.5982399238
28	0.5948829581
29	0.5917646878
30	0.5891284031
31	0.5866535349
32	0.584240788
33	0.5824119093
34	0.5795940938
35	0.5765005464
36	0.5735582006
37	0.570696842
38	0.5682219115
39	0.5652640702
40	0.5624111977
41	0.5594622744
42	0.5568234959
43	0.5541970463
44	0.5515190057
45	0.5493402345
46	0.5464377666
47	0.5437358153
48	0.5417305609
49	0.5389108338
50	0.536135421
51	0.5335589732
52	0.5309003033
53	0.5288848871
54	0.5261511028
55	0.5243945415
56	0.5221215612
57	0.5198589864
58	0.5174640678
59	0.5148048334
60	0.5124885747
61	0.510516352
62	0.50905181
63	0.5062095904
64	0.5038694287
65	0.5021985149
66	0.5001586093
67	0.4978106407
68	0.4954680086
69	0.4934649587
70	0.4909480246
71	0.4885718693
72	0.4863193558
73	0.4841905429
74	0.4825057544
75	0.4805158408
76	0.4789964832
77	0.4769127635
78	0.4752087973
79	0.4735526819
80	0.4717220981
81	0.4707322134
82	0.4698361753
83	0.4677304031
84	0.4658442456
85	0.4641906066
86	0.4635075701
87	0.4619831875
88	0.4600327313
89	0.4582894588
90	0.4565682234
91	0.4547432734
92	0.4529021577
93	0.4508267051
94	0.4492785204
95	0.447329354
96	0.4460205384
97	0.4441192991
98	0.442367176
99	0.4408062173
100	0.4393295673
101	0.437494334
102	0.4361159594
103	0.4347361984
104	0.4330658436
105	0.4315031911
106	0.4297310623
107	0.4280075158
108	0.4264973448
109	0.424885665
110	0.4234705189
111	0.4217071069
112	0.4201726125
113	0.4187829789
114	0.4171781144
115	0.4159135602
116	0.4148033608
117	0.41352683
118	0.4120954722
119	0.4107684276
120	0.4095250938
121	0.4085417731
122	0.4069777137
123	0.4062394844
124	0.4050974368
125	0.40352336
126	0.402163428
127	0.4006613081
128	0.3993624123
129	0.3977491461
130	0.3963249443
131	0.3949767959
132	0.3935774155
133	0.3922538143
134	0.3910658929
135	0.3900989027
136	0.3889488867
137	0.3878588758
138	0.3870824184
139	0.3859024235
140	0.3843279662
141	0.3833052763
142	0.3815868273
143	0.3802778119
144	0.3795078928
145	0.3779931188
146	0.3772079054
147	0.375740569
148	0.3749383236
149	0.3740838923
150	0.3730883452
151	0.3722057187
152	0.3707926058
153	0.3695053733
154	0.3679379188
155	0.3670150441
156	0.365991448
157	0.3647199694
158	0.3636837291
159	0.3628381289
160	0.3618079757
161	0.3606213305
162	0.3598950289
163	0.3588450798
164	0.3578798477
165	0.3565616537
166	0.3554923329
167	0.3544438999
168	0.3535312273
169	0.3522845545
170	0.3510306749
171	0.3496624383
172	0.3484972431
173	0.3472890009
174	0.3461357171
175	0.3451776787
176	0.3440489786
177	0.342877588
178	0.3417852997
179	0.3407954953
180	0.3395452478
181	0.3390387409
182	0.3380463212
183	0.3370676031
184	0.3362025075
185	0.3351079608
186	0.3343730463
187	0.3331990114
188	0.3324402176
189	0.3313402282
190	0.3303924833
191	0.3294086224
192	0.3285885018
193	0.3279684439
194	0.3269176864
195	0.3258381265
196	0.3249401501
197	0.3241021962
198	0.3233229205
199	0.3224400013
200	0.3217967085
201	0.3209723919
202	0.3202810996
203	0.3194679312
204	0.3186045421
205	0.3184519662
206	0.317715578
207	0.3167751757
208	0.3161971048
209	0.3154803413
210	0.3147138583
211	0.3145468885
212	0.3141128127
213	0.3134368853
214	0.3125500458
215	0.3120272613
216	0.3114331782
217	0.3112900933
218	0.3107513028
219	0.3099524847
220	0.3089264006
221	0.308439162
222	0.307698144
223	0.3071126012
224	0.3064790194
225	0.3054517219
226	0.304806928
227	0.3040947856
228	0.3031720659
229	0.3021422677
230	0.3015808177
231	0.3009306371
232	0.3002335059
233	0.2994967542
234	0.2987352746
235	0.2981565905
236	0.2974766583
237	0.2967864826
238	0.2960315212
239	0.2952310569
240	0.2948537481
241	0.2940158859
242	0.2934087122
243	0.292536863
244	0.2919351154
245	0.2914692188
246	0.2906880508
247	0.2899878624
248	0.2891805799
249	0.2887057358
250	0.2881473933
251	0.2875525546
252	0.2869529497
253	0.2859880393
254	0.2855607274
255	0.2848957516
256	0.284305888
257	0.2839748558
258	0.283467989
259	0.2827075471
260	0.2821351465
261	0.281532507
262	0.2811913312
263	0.2806306687
264	0.2799805781
265	0.2792534604
266	0.278426422
267	0.2779801058
268	0.2776717187
269	0.2769840996
270	0.2765273492
271	0.275819591
272	0.2751841573
273	0.2743437877
274	0.273656006
275	0.2730935004
276	0.2725618267
277	0.2719449038
278	0.2714906433
279	0.2710922357
280	0.2705380164
281	0.2700305394
282	0.2694141253
283	0.2687541191
284	0.2682744311
285	0.2676578991
286	0.267274506
287	0.2665168695
288	0.2660338316
289	0.2653441392
290	0.2648100727
291	0.2642309577
292	0.2636209327
293	0.2630019458
294	0.2629384534
295	0.2623743237
296	0.2616892125
297	0.26109677
298	0.2602013952
299	0.2595072204
300	0.2589024895
301	0.2585874756
302	0.258185398
303	0.2577750861
304	0.2572148639
305	0.2569184306
306	0.2565104116
307	0.2560936077
308	0.2557585405
309	0.255136288
310	0.2546699763
311	0.254142607
312	0.2538959531
313	0.2533536535
314	0.2527667041
315	0.2522015274
316	0.2517881916
317	0.2511426293
318	0.2506432223
319	0.2505888831
320	0.2501040888
321	0.2495910089
322	0.2490639063
323	0.2484324786
324	0.2481258545
325	0.247806094
326	0.2472353218
327	0.2466675971
328	0.2463060491
329	0.2459810791
330	0.2454184914
331	0.2447832362
332	0.2443743978
333	0.2439384135
334	0.2435679992
335	0.2431671272
336	0.2426966865
337	0.2421959184
338	0.2416994013
339	0.2412354031
340	0.2407037219
341	0.240334316
342	0.239896825
343	0.2394823229
344	0.2389276104
345	0.2385706456
346	0.238154352
347	0.2375863431
348	0.2370909797
349	0.2366115257
350	0.2362860752
351	0.2359121095
352	0.2358414144
353	0.2353578142
354	0.2348298544
355	0.2344011234
356	0.234044436
357	0.2335918819
358	0.2331911482
359	0.2326827237
360	0.2322038034
361	0.2318012877
362	0.2311477249
363	0.2309197055
364	0.2303194505
365	0.2298942386
366	0.22942351
367	0.2287814233
368	0.2285451302
369	0.2280246932
370	0.2275673086
371	0.2273420655
372	0.2271311016
373	0.2265972655
374	0.2264640193
375	0.2260324408
376	0.2257287321
377	0.2252228967
378	0.2248987387
379	0.2245018624
380	0.2239989896
381	0.2235023846
382	0.2230990511
383	0.2225791941
384	0.22246171
385	0.2219203213
386	0.2214897668
387	0.2212046256
388	0.2209160942
389	0.2204481268
390	0.2200336358
391	0.2198167234
392	0.2195265772
393	0.2192660997
394	0.2189192161
395	0.2186176172
396	0.2180037667
397	0.2175995723
398	0.2171396453
399	0.2166846487
400	0.2162566379
401	0.2157797832
402	0.2153516218
403	0.2149726822
404	0.2146687686
405	0.2142762751
406	0.2137544272
407	0.2132420101
408	0.2128122434
409	0.2123125899
410	0.2119474648
411	0.211659472
412	0.2112753566
413	0.2110521336
414	0.2106864514
415	0.2103766209
416	0.2099452894
417	0.2096335676
418	0.2092322102
419	0.2088760654
420	0.2087386063
421	0.2083884161
422	0.2080391154
423	0.2077328603
424	0.2073107208
425	0.2070257894
426	0.2066163249
427	0.2062414513
428	0.2057681056
429	0.2054530775
430	0.2050854665
431	0.2049770684
432	0.2046191388
433	0.2043717958
434	0.2039930621
435	0.203877127
436	0.2035922141
437	0.2031524323
438	0.2027191664
439	0.2023946907
440	0.2021380534
441	0.2017891975
442	0.2014757124
443	0.2012265469
444	0.2007200045
445	0.2005582009
446	0.2005327031
447	0.2002039699
448	0.2000143801
449	0.1996273146
450	0.1994249274
451	0.1990370105
452	0.1989742407
453	0.198543732
454	0.1981627465
455	0.1977815496
456	0.1974975458
457	0.1971355551
458	0.1967428185
459	0.1967189373
460	0.1966633062
461	0.1966254296
462	0.1962764497
463	0.1960737303
464	0.1956349854
465	0.1954072044
466	0.1949825778
467	0.1947513081
468	0.1944615896
469	0.1941866408
470	0.1939365047
471	0.1935529045
472	0.1932327523
473	0.19295125
474	0.1926255137
475	0.1923241268
476	0.1919945503
477	0.1915642312
478	0.1913160832
479	0.1909335793
480	0.190800021
481	0.1907623825
482	0.190356576
483	0.1900405592
484	0.1896784739
485	0.1893825795
486	0.1892371949
487	0.1889192038
488	0.1886979486
489	0.1884731202
490	0.188070378
491	0.1877739734
492	0.1875756573
493	0.1873690667
494	0.1870676866
495	0.1868504246
496	0.1865522511
497	0.1863783985
498	0.1862062431
499	0.186058006
500	0.1857429648
501	0.1853744222
502	0.1851236335
503	0.1849752413
504	0.184759124
505	0.1846443722
506	0.1844127909
507	0.1840700744
508	0.1839575076
509	0.183806267
510	0.1836469865
511	0.1834053625
512	0.1831021042
513	0.1828577764
514	0.1826063994
515	0.182285617
516	0.1819950204
517	0.181668206
518	0.1814670953
519	0.1812362164
520	0.1808713973
521	0.1806227866
522	0.180341947
523	0.180100201
524	0.1798314787
525	0.1795222308
526	0.1793482267
527	0.179151794
528	0.1788103224
529	0.1787108048
530	0.1784789464
531	0.1780438306
532	0.1779127459
533	0.1777319721
534	0.177482805
535	0.1772943151
536	0.1769616862
537	0.1766475986
538	0.1763867134
539	0.1761270632
540	0.1759283696
541	0.175624907
542	0.1752988518
543	0.1750358638
544	0.1750070877
545	0.174765907
546	0.174662716
547	0.1744695416
548	0.1743037344
549	0.1741061825
550	0.1738677602
551	0.1735915087
552	0.1733023924
553	0.173057252
554	0.1729718901
555	0.1726971336
556	0.1724293601
557	0.1721778604
558	0.1719433776
559	0.171808598
560	0.1716833391
561	0.1712653766
562	0.1710155907
563	0.170804994
564	0.1705632449
565	0.170292265
566	0.1700436829
567	0.1698391204
568	0.1696690032
569	0.1694154991
570	0.1691933446
571	0.1689856931
572	0.1688250752
573	0.1687850534
574	0.1686453598
575	0.168556673
576	0.168342167
577	0.1682021139
578	0.1679508004
579	0.1677773669
580	0.1676013156
581	0.1673965184
582	0.1670860955
583	0.1669198453
584	0.166827514
585	0.1665607205
586	0.1664046031
587	0.1662224249
588	0.1659308893
589	0.1656732694
590	0.1653658637
591	0.1651811071
592	0.1647961945
593	0.1646168128
594	0.1644247168
595	0.1642349823
596	0.1639594602
597	0.1637713725
598	0.1635762625
599	0.1633439691
600	0.1631125261
601	0.1628622658
602	0.1625255635
603	0.1622076268
604	0.1621236992
605	0.1618756769
606	0.161625711
607	0.1614019576
608	0.161141897
609	0.1608641111
610	0.1607375569
611	0.1605078842
612	0.1602195004
613	0.1599149655
614	0.1597293308
615	0.1596197351
616	0.1594000059
617	0.1591677506
618	0.1590401383
619	0.1588814959
620	0.158805975
